trigram,freq,G2,PMI
gas hydrate potential,1,607965.5811539729,6.777692841650088
climate change effect,5,596318.3179169449,9.835751155082454
oil spill review,3,592802.3690004349,7.456583184860458
oil spill impact,5,583751.4336939374,8.314996008854553
gas hydrate system,4,575253.6706550703,8.760280793594513
gas hydrate reservoir,7,570153.0791969508,10.291580006447814
mass spectrometry matrix,2,566632.3388279218,9.686549955205356
source rock area,3,564777.973425754,7.007684827375094
gas hydrate production,2,547458.3185222137,9.111241706130455
oil recovery study,2,546258.2684695737,5.15175040074818
gas hydrate review,2,543367.8718428332,6.553335503839557
gas chromatography time,14,543203.5147406561,9.58689172842178
climate change source,2,541389.4259140457,9.543218455213935
oil spill case,4,525565.6598303067,8.232012071715696
source rock development,2,522937.2921254735,7.498647662734002
source rock evaluation,14,520140.04247894156,10.252618294805671
oil spill sea,5,510436.8597329786,8.804652547004341
source rock characteristic,10,508393.2986579281,9.171531658354533
mass spectrometry profile,2,508026.49256644875,8.819215338078587
machine learning model,44,507913.41410376545,14.816368961096343
machine learning method,10,506056.31820425385,12.900289766419515
mass spectrometry depth,1,504134.01973747363,10.083067366513403
source rock assessment,4,500484.74268923845,8.076291466512474
risk assessment study,4,499312.25657594955,8.30521100233218
source rock case,6,490005.1075679226,8.252732871706092
climate change marine,1,489374.2101439361,8.283540828453523
source rock distribution,2,483198.54680490925,6.779214235575773
machine learning application,4,480307.492943814,12.149959294198977
oil water gas,2,474076.09159237985,3.421030442601527
climate change impact,20,471233.01677922945,13.36479641535948
source rock geochemistry,1,463585.6868178616,8.741825228873514
liquid chromatography determination,8,462619.4032994993,10.557655373444458
source rock property,6,459044.56211931474,8.470492191694769
oil recovery carbon,2,458765.8324720229,5.832623045909758
risk assessment rock,2,454535.08834597014,8.750154471822562
source rock petroleum,2,443075.0917805815,7.93555626474516
climate change characteristic,1,443060.9577586828,8.568343049369552
risk assessment soil,2,439501.73546309053,8.469437023261307
shale oil formation,2,437299.7053550685,5.536045511034946
gas hydrate deposit,2,436118.56213166943,9.251467631799152
oil water rock,1,428538.00656437816,2.033454124539594
climate change case,6,427432.1770280865,11.234506763442267
oil recovery method,4,425651.45348732534,8.207340687337405
machine learning approach,15,421175.7874110695,14.718122097951147
water separation effect,4,416224.07129224355,7.939203657470338
climate change sea,1,416040.2435106486,8.637222237288599
oil recovery application,3,404741.01068605244,7.948863311446539
machine learning case,8,395341.018212586,13.112481196562335
risk assessment source,2,385081.0214638122,8.466666911557049
oil recovery production,1,376307.7453581612,5.617046932194729
oil recovery review,3,373501.50127801,7.96603132551235
water separation application,4,367670.5748043765,9.019293553241516
oil spill implication,2,365453.1345033385,7.545201206800219
oil recovery field,1,353482.51354249136,7.495638915952749
oil recovery process,4,352697.66530189913,7.987069315283136
mass spectrometry desorption,2,350553.7802021145,8.794899677526715
risk assessment review,2,343833.0537600058,8.797563832208986
oil water system,4,341831.06097916653,5.965880679793612
water separation review,1,340018.24280659267,6.714533472419963
risk assessment impact,1,339316.9397366857,8.919011062036875
mass spectrometry metabolomic,12,336285.81091151247,12.989008508293056
oil recovery case,2,336072.956204288,7.00449461820138
water separation performance,4,335505.68290764035,9.519480557967231
case study product,1,335431.66935704893,7.506314461760066
mass spectrometry profiling,3,331116.4798814245,10.465116453838334
mass spectrometry tool,3,330698.3064204459,10.862077662877045
oil reservoir soil,2,330617.62524278346,4.066434252171626
risk assessment field,1,325764.4229950517,8.064137016815591
oil water review,2,325211.1901298482,4.08086348492602
water separation development,2,324534.2389915683,8.490764652466579
source rock implication,2,322208.1535343027,7.98095950606946
oil recovery mechanism,4,318918.0315279609,9.032009351718104
oil reservoir effect,1,317576.326528565,3.2041937468908386
mass spectrometry residue,1,314566.48963861837,8.174215254571598
mass spectrometry association,2,310188.9471379414,9.243820722057464
risk assessment case,2,310011.2440385551,9.15795521978538
water separation surface,1,309822.70346191234,8.189714752467184
risk assessment distribution,1,306160.4204790277,9.854361585097374
oil water temperature,1,303340.1933098817,3.411654855638067
oil gas energy,3,298943.6374899339,4.990128856416311
mass spectrometry sulfur,2,298389.2998620722,9.2940550245776
oil shale water,2,298319.09679258685,3.4878904414651517
gas reservoir gas,2,296301.57842497644,4.150067372019301
case study land,2,295382.0858890905,8.660391883442976
risk assessment mechanism,2,294641.48994005506,9.3781150312445
gas reservoir study,1,294049.75641408836,4.317547584466987
oil water case,2,293649.8649589222,4.441254872502412
neural network model,1,292547.9123555471,14.121200407326613
risk assessment metal,4,289236.0306583262,10.313514718058507
carbon dioxide oil,2,287952.8698405968,8.686772179446303
mass spectrometry pre,1,278429.7339652114,8.400096661987925
case study forest,2,276793.5559342892,8.684815357382194
liquid chromatography ion,4,275149.16328156996,9.606262278877773
mass spectrometry metabolite,2,272550.04895323515,11.322737779281686
oil shale formation,2,269215.6548154959,4.951083010313789
oil reservoir production,2,264040.34182506154,4.952467263410204
oil reservoir review,1,262327.9720881379,3.979523561840462
oil gas zone,2,262127.18208021598,4.54531406211543
oil reservoir impact,2,259044.52917900129,5.685933292389508
climate change implication,4,256434.4192970416,10.962733397805634
petroleum hydrocarbon oil,4,253083.27896570112,5.885192903656643
gas reservoir effect,1,251735.65034718128,5.0345705993941685
carbon dioxide gas,2,251040.76416069717,10.25411462611584
mass spectrometry platform,4,249989.93121027932,10.481839811429461
oil field study,1,240298.61752677607,3.9696957243488806
oil reservoir case,10,237903.69637613592,7.661843044304218
carbon dioxide water,1,232833.35746038175,10.647332690302221
climate change research,3,231700.84304431375,11.457311736980808
gas reservoir characterization,1,227344.78272336992,7.069084208351941
oil field water,1,224458.92434747965,6.15479159159023
health risk oil,2,218346.82433800856,8.556765059350981
oil shale temperature,2,213116.61696591662,4.933293696870261
gas reservoir production,1,211111.48203387513,4.7828441159135355
oil gas activity,2,210800.04942238244,4.54531406211543
liquid chromatography isotope,2,210608.26713223621,8.136776995576554
oil field effect,1,206775.64887932257,3.6867187392760625
case study laboratory,2,202834.62450596158,8.805874743618975
oil production study,2,202355.79268409655,4.261028742033173
gas reservoir development,1,201276.08087055437,5.001169093669253
gas reservoir evaluation,4,200514.57423221893,7.000252223577454
gas reservoir characteristic,2,196933.0580056471,6.089090588568628
petroleum hydrocarbon soil,2,195810.18040588076,10.36920408442415
oil reservoir influence,2,191944.02528154908,5.669857319239649
mass spectrometry advance,2,191868.5536342272,9.514555386572841
river basin application,1,191398.22502254273,6.112261421756005
gas reservoir case,2,191200.03167582833,8.170291801920186
liquid chromatography adsorption,1,191083.82849631557,7.206183002943081
trace element oil,2,189407.26301777893,8.789295745957775
gas hydrate zone,1,187205.57842900662,6.5630072386604
source rock quality,3,186915.1126245046,8.51506620943127
oil field reservoir,2,180083.7336871332,5.246096746447068
oil shale deposit,2,179972.26032673323,6.300634454117809
climate change energy,2,176023.89002710732,10.158676903545283
mass spectrometry pharmacokinetic,2,172661.07344525369,10.238345591991314
mass spectrometry dataset,2,168874.0242061472,10.025351868657115
mass spectrometry screening,6,167258.9467734251,11.944870072593382
oil field development,1,166660.27254207726,6.238279734272304
oil spill modeling,2,164640.25815921166,7.868411127663411
gas chromatography flow,2,164633.1023711483,8.213507850341779
oil price effect,1,163645.68091501307,6.282349957825926
trace element analysis,1,162494.50448520933,8.830334011835962
petroleum hydrocarbon area,2,162249.73246569032,7.490746141729863
oil gas generation,7,162237.69243125452,6.987063403192175
mass spectrometry urine,2,159801.34895934747,11.112814709907454
petroleum hydrocarbon sediment,2,159320.89797931103,8.499473906042395
oil production characterization,1,159021.11943526025,3.8426403644758147
rock mass case,1,158849.1162524509,5.238434488653523
rock mass structure,4,155991.02881148568,8.362185248695974
oil production coal,2,155792.70402084745,4.923030471477676
study area study,2,155645.50877555768,4.81632294793869
oil production system,1,153854.77271835878,4.053436266056416
climate change result,2,153781.77505606564,10.5413037966172
trace element rock,1,152729.78344438245,10.23209628039917
oil field acid,1,150359.6106356676,5.0390005122071315
oil spill identification,2,150158.22958825185,9.42637689600655
oil production area,2,150072.24522010257,5.28376241443422
trace element soil,3,148483.94202080823,10.951378831837918
water quality rock,2,148460.40007822108,6.409423150502785
oil spill risk,4,147538.94006977946,9.799549269518607
hydrocarbon generation oil,2,147479.51102668451,5.249005079580313
gas hydrate modeling,2,145058.37157394234,7.550125947363667
hydrocarbon potential study,2,141968.6656457418,4.8942675243604175
hydrate formation gas,2,140722.70540877376,7.486878688716289
health risk review,3,138916.26611373076,10.631937454899962
oil production datum,1,137906.8501858759,4.738199373768013
health risk impact,1,137478.38254624463,9.168422184006694
mass spectrometry coupling,2,137460.67451105584,10.591577806796685
oil price impact,2,136797.96464508417,8.179127002603439
oil spill treatment,8,136269.87405926807,11.941518675936681
gas chromatography detection,2,135800.51601978566,6.486412500199633
oil gas complex,1,135792.22265227724,6.9462833551470995
chemical composition water,1,135053.59013086915,7.5431429536390535
oil production region,2,133521.2150093046,5.720424672040037
health risk evaluation,4,133302.83573111828,11.237326763412467
chemical composition rock,1,133125.41393703848,6.61034547794569
oil spill response,8,132381.6418817425,11.262653427366665
water quality model,1,131756.3419016482,6.115119303323775
coal seam gas,4,131075.94269766464,11.684144661543893
chemical composition soil,2,129495.05995270562,7.744665528663279
trace element coal,8,128119.22570349235,13.03411704107445
health risk case,2,127746.69960357818,10.407366341755198
health risk assessment,103,126951.77825607863,16.360207953506546
trace element system,2,126714.4722807138,11.16452283565319
earth element study,2,125454.67583372514,9.204849656638125
oil spill novel,2,124861.69108471628,7.939040924767949
spectrometry imaging performance,2,122258.37531715783,8.996170558464328
coal seam rock,2,120823.78672386552,10.126643342039648
health risk metal,2,120805.17197428111,11.562925840028324
source rock generation,2,120080.4049600583,7.299368440668831
source rock material,2,118614.2623297216,7.434956034468006
hydrocarbon potential shale,2,118476.6436969231,6.793647310776356
water quality sediment,2,118328.44577385209,8.580903618447138
earth element water,2,117972.14113204778,9.58259060182187
spectrometry analysis rock,2,117117.2168891463,4.735819890255909
chemical composition source,1,116464.76327105983,8.326857917680178
hydrocarbon potential source,1,115066.30756875988,5.055723433585286
carbon sequestration soil,4,114771.66385294302,10.628729450961943
risk assessment polycyclic,56,114530.46666844958,14.868131248135349
trace element datum,1,114076.62346351717,10.849285943364787
water quality evaluation,3,113740.1769714483,8.232146820844026
earth element soil,4,113152.24819988738,10.784113176846095
trace element composition,4,112614.38415777533,13.994152855528208
layer chromatography analysis,2,111925.98193963734,7.876106345807009
hydrocarbon generation hydrocarbon,1,111893.00392473191,5.80075522710908
gas production coal,2,111467.77051881267,5.7534073239810075
synthesis characterization oil,2,111182.33257909997,6.056386807633761
carbon sequestration effect,1,111097.52018593044,8.181526444959998
water quality datum,1,111047.46534377964,7.026612813468399
trace element distribution,4,110967.95979041376,12.751340892952829
trace element evolution,1,110662.70733608308,10.77040515457975
water quality assessment,10,110438.51468385913,10.44813741532959
study area field,1,110144.9592131683,6.5752489624221
methane hydrate formation,4,110089.14267541397,13.4789586542969
study area process,1,109991.44886620996,5.651641862473645
water quality surface,2,109969.11741993706,8.932013790936432
water quality case,2,109135.1512855617,7.817223898465603
land use soil,2,108399.84056566154,10.23862453898337
machine learning modeling,2,108308.93060588534,13.234307079680294
case study block,2,108245.75614826396,10.145126936425477
coal seam model,2,107613.71474174368,10.832339494860639
trace element geochemistry,13,107547.41902694758,15.035879981137933
fourier transform ion,4,107194.2891519068,14.266573416183267
study area surface,1,106844.14461895588,6.7838570578627175
chemical composition review,2,106561.49627692834,8.657754838332115
gas chromatography technique,2,106392.76954323812,6.833735680882132
mass spectrometry line,1,106090.44072922297,10.2940550245776
water quality change,1,105675.49097913266,7.027805616381233
gas field impact,1,105563.53032793521,5.413872636556906
water quality geochemistry,1,105120.36755396567,7.891278756354182
hydrocarbon generation source,4,104905.02897252192,8.993280554477355
land use effect,2,104828.54934052587,10.376384033702582
gas production performance,2,104801.92683238172,5.99638808718182
water quality co,1,103764.69201410648,8.111321069341676
oil spill detection,24,103720.41571032678,11.99816569063019
fatty acid production,2,103161.95509332365,12.791911271363452
hydrocarbon generation potential,42,102684.64822547253,12.185964733555116
gas chromatography ion,10,102166.0499831672,10.098030632921843
coal seam coal,2,102136.69963399677,10.928664102714926
carbon sequestration potential,11,102094.59721243267,12.683713938249337
amino acid analysis,2,101325.39705971404,12.32025648004276
hydrocarbon potential evaluation,1,101263.30217328519,6.5769721634708835
methane hydrate system,2,100134.5430433383,9.371538975234193
land use model,1,99332.96952101031,9.810000641086772
earth element coal,2,98406.53472174218,10.451813886803784
palm oil production,2,98249.86085190128,9.146100691765229
climate change response,2,98048.36640416758,10.358257523484717
hydrocarbon potential case,2,97235.18809995637,6.747011741813617
amino acid water,2,97143.20495655967,10.654816224299333
polycyclic aromatic hydrocarbon,3,96944.3864436714,16.554526398645557
palm oil impact,2,96815.85921756027,8.294604220023375
tectonic setting source,4,96723.1342247026,12.643405482300988
seed oil application,2,96722.60874763587,7.0819883946859
oil gas methane,4,95708.90485551255,5.808995561497139
case study facie,1,95421.01561320077,8.48777851032264
fatty acid composition,5,95280.28766875442,13.948652283815163
hydrate formation distribution,2,94969.66672852467,8.618546983208011
asphalt mixture study,1,94330.4706779055,8.446105661157718
layer chromatography method,22,93207.22112884418,12.210443526356425
land use system,6,93124.12138737582,12.621693544240955
gas production co,2,93060.91501395212,6.653284482144619
hydrocarbon generation characteristic,1,91204.17335894132,8.018405148632972
palm oil case,2,90453.9582362585,7.948585877050723
palm oil waste,2,89107.96572391062,10.296527930284741
land use impact,3,88766.85538618718,12.273161078480094
earth element characteristic,2,88691.83521611652,10.976392660739766
hydrocarbon generation evolution,4,87848.89971463705,9.23011448820229
carbon nanotube oil,6,87099.40700390266,9.7351352010077
performance evaluation gas,2,86732.15085221521,6.213796194845737
coal seam mechanism,1,86462.7663766116,10.754603901461588
seed oil characteristic,2,86383.95605988572,7.641380988810338
methane hydrate phase,2,86310.51766342088,10.022132942967147
oil recovery modeling,1,86300.43516496921,6.640893674149097
earth element geochemistry,18,83061.54307116667,14.655210688036917
earth element property,2,83001.19214913948,11.275353194080001
asphalt mixture effect,1,82682.41408707951,10.748091176806057
land use structure,1,81856.6166652523,10.63585599627105
land use chemical,2,80333.32479995226,11.731064302682169
graphene oxide effect,2,80175.98476709508,11.454557893419409
land use change,14,80156.86478533468,14.970614467587815
wastewater treatment potential,2,79676.31088567471,10.563498035146829
gas chromatography isotope,6,79389.86062570414,8.476542256175573
climate change carbonate,1,79100.35660317396,9.550902601427113
synthesis characterization application,3,78038.10445936085,9.851356783283137
oil reservoir energy,1,77586.66818522966,4.849047590241028
wastewater treatment system,2,76864.92882096904,10.224157892203891
phase extraction gas,6,76278.78902899056,10.649959387375558
crude oil emulsion,5,75020.62564461149,11.25548415127249
mass spectrometry characterisation,2,74914.09583219324,10.514555386572841
oil palm production,2,74660.41172715822,7.561138191044073
desorption ionization mass,4,74575.1771122696,15.046070437491682
study effect oil,2,74264.56723240811,2.9277927247926514
wastewater treatment review,2,74001.47161775846,11.3391406973363
performance evaluation model,2,71905.43531244056,7.531916029604796
oil palm development,2,71818.00778712235,7.779463168799791
case study mineralogy,2,71171.6288420303,9.512546415471581
petroleum system oil,1,71130.71315626244,4.708669845823292
synthesis characterization evaluation,1,71074.90619958512,9.736948511695246
wastewater treatment process,4,71009.92511121096,12.267069282715603
soil carbon model,2,70861.79796735218,5.619402562497404
gas sensor datum,2,70748.4893317015,9.3727811579053
multi scale analysis,3,70611.98812141636,9.212990835488162
asphalt mixture performance,1,70457.02379995488,12.257978749411551
gas hydrate methane,1,69779.1614907537,6.826688738042108
upper cretaceous oil,2,69506.01728699714,8.603861043663985
performance evaluation application,2,69098.69328054959,7.593426817270627
oil reservoir result,1,68250.25471778042,5.231674483312945
particulate matter coal,2,68157.23058279658,10.167063253875757
oil palm waste,1,68067.41276703325,8.974599835397377
carbonate reservoir study,1,67705.61397016878,6.239130353073876
surface water study,1,67116.36966915755,4.553901829924259
mass spectrometry device,2,67112.94685006072,10.568494193683645
carbon nanotube formation,2,66979.65633140244,9.988963279269944
carbon nanotube shale,2,65289.95953026288,10.047409551653502
learning model study,1,65015.48630743429,6.096136823574719
particulate matter sediment,1,64975.01026969717,11.121485461865987
particulate matter impact,2,64368.210149630286,11.118861584135947
phase extraction method,2,63493.9835548751,9.065674964354864
mineralogy geochemistry analysis,1,63297.079600099445,8.629782474287333
ionic liquid surface,4,63220.30425848648,11.856362658891827
case study channel,2,62137.33811735017,9.734938836808029
carbon nanotube application,4,61932.875791396735,11.360180175214765
petroleum system analysis,5,61855.992283237734,8.749708111701482
learning model water,1,61448.56023726069,6.473877768758464
study effect rock,2,61316.81394733064,4.370593259234049
soil carbon characteristic,2,61232.082407381706,6.240305944287674
oil spill pollution,6,60856.05498990155,10.611802990989052
learning model rock,5,60530.4167229527,8.863008387952462
multi scale model,2,60119.518657841,9.735486756151206
oil water treatment,2,60005.64418854679,5.06329863547306
case study safety,2,59426.96693290604,9.576392897496207
gas chromatography food,2,59266.25562376846,8.048448604071282
source rock north,2,58497.715930319406,7.742911186802764
phase extraction chromatography,2,58447.93957182333,8.92391562047912
multi scale characterization,2,58316.94492391475,9.751421257003631
gas chromatography separation,1,58144.697237265376,7.175752928346361
coal rock gas,2,58090.91338175004,6.318016762745995
upper cretaceous rock,2,57472.12423675463,10.046661578105384
shale reservoir effect,2,57388.37491461459,7.423358693145157
grain size study,1,57168.625114735165,10.487853112089299
carbon storage study,2,56818.491110280236,7.137141449094826
groundwater quality analysis,1,56769.63186059665,7.467277996564384
plastic waste review,2,56479.06527475668,10.26795240099589
oil recovery carbonate,5,56379.08909526226,10.36528457554468
grain size analysis,5,56174.38734814362,13.115996813737627
oil production plant,2,55585.74959865023,6.892854480902661
coal seam investigation,1,55416.476950751414,10.823492454182913
mass spectrometry implementation,1,55393.52264979601,9.925187706731684
petroleum system hydrocarbon,1,55250.33261771591,7.26041999335206
carbon nanotube surface,2,54986.9186535775,11.115563875161591
carbon isotope analysis,2,54368.692077410036,7.869282871277371
oil recovery prediction,1,53826.119873788324,6.810818675591409
surface water coal,2,53669.14713236245,7.800866060089918
hydrocarbon soil sediment,4,53577.94175430681,7.95820731503694
gas hydrate stability,7,53520.09807266637,10.485716855225494
rock mass condition,1,53233.906908312914,5.865247495772041
mineralogy geochemistry source,2,53214.405550529664,10.748057182585029
shale reservoir characterization,1,52974.21652850679,8.135944207215566
petroleum system model,2,52938.93570039825,7.85716653308568
plant growth soil,1,52672.13639978909,7.872974771596328
learning model application,2,52545.75482477154,8.308287233551921
coal mine gas,2,52111.523298561995,8.305633038290162
surface water area,1,52108.262439758124,6.161598003046461
gas hydrate extraction,6,51893.53790295797,9.834476584434553
coal mine study,1,51828.88068900363,7.473113250737851
mineralogy geochemistry coal,2,51501.3033205042,10.83356550352582
surface water sediment,6,51127.430823936695,9.492253862246356
plant growth carbon,1,51050.47654423959,7.974583896549936
grain size effect,1,50564.846199381966,11.204876127016481
oil recovery factor,6,50452.35424450639,9.588426254254962
mass spectrometry speciation,2,50438.92069128718,11.873348775212065
carbonate reservoir evaluation,1,50046.8191560556,7.921834992184342
oil gas recovery,2,49760.29111590306,4.984270188300494
coal seam influence,1,49728.0175250012,11.864386459825262
mass spectrometry multivariate,1,49478.24656353606,10.907700280002842
oil recovery technology,1,49425.408917549394,10.00621436454984
learning model performance,1,49371.615801508255,7.58608181694119
gas chromatography wastewater,2,49349.034811358324,7.118350617301439
mineralogy geochemistry sediment,2,49220.15664643116,11.203025210794896
coal mine water,2,49030.242311084236,8.850854195921595
waste management water,2,48934.56257352774,8.18121057245621
petroleum system review,1,48321.642110219225,7.198879740651115
health risk implication,2,48300.993872825115,10.720555476839722
oil shale sample,2,48186.9859521528,7.073223958014736
climate change north,2,48125.24665893826,10.72468507853894
carbonate reservoir case,4,48123.30581535919,11.091874570527075
groundwater quality source,2,47842.55418907461,9.585552704862081
generation potential source,2,47787.63308256018,8.98617263814463
oil gas well,6,47492.934761102195,7.575384916003245
organic rich rock,2,47276.11580860314,7.2085634922540285
oil spill removal,6,47273.91972389589,10.415405778185548
upper cretaceous sediment,2,47266.66597752816,11.218142046049737
coal mine soil,4,47211.39308147109,10.05237677094582
clay mineral study,1,46810.968129872475,8.550913064231777
generation potential coal,6,46220.566151305386,9.656643459806578
organic rich soil,1,46196.14426965812,6.342883542971617
rank coal study,1,46088.53302915367,8.54906210397115
carbon isotope source,1,45967.37645255492,6.987557579575069
surface water acid,1,45884.33123500164,6.623206617782511
risk assessment groundwater,2,45769.26865150679,10.142569062140735
petroleum system assessment,2,45575.34821503331,9.382829723033892
hydrocarbon accumulation area,2,45294.49199966344,8.636966882580907
climate change pollution,3,45288.56004113481,11.707407087107104
oil shale modeling,1,45146.59117469912,4.599292769682323
carbon storage reservoir,2,45037.70370625617,8.413542471193015
fuel oil water,2,45004.43352136511,6.052231331570222
study effect acid,1,44964.35986806625,6.579917078323076
oil spill separation,2,44892.681672955325,8.015080776805421
carbon nitrogen source,2,44789.76081382369,8.348255244627007
petroleum system evolution,2,44577.71527240848,8.689779254445268
land use river,1,44515.13058844275,10.934379486823468
organic rich formation,2,44294.14668961119,7.604553536796029
carbon storage sediment,2,43735.94132148719,8.753565386529562
development validation study,2,43672.3148654383,9.426988423859779
oil recovery technique,2,43498.97011387714,8.030508576548034
plant growth development,2,43080.528683675984,9.977332760590624
hydrocarbon accumulation process,4,42971.71836013018,9.86458962399366
sea level coal,1,42949.31157952612,8.295156913443686
water quality time,1,42833.58674657848,7.274465809464543
chromatography method analysis,6,42792.093088037465,6.806191705767517
groundwater quality evaluation,3,42776.162728225274,11.428729529635042
oil spill site,6,42668.4204575622,10.275632973525909
quantitative analysis method,1,42575.6440727868,7.9592710357719065
organic rich shale,26,42246.99811114989,12.089264563881684
grain size characteristic,1,41987.14513869624,12.259396116190938
cotton fabric oil,6,41894.50949532914,14.261262600465543
groundwater quality assessment,5,41769.393311799475,11.9077545299544
hydrocarbon accumulation case,2,41712.833360013574,8.882014926911904
carbon storage assessment,1,41358.01398921737,8.813444261354409
isotope composition potential,1,41250.26501665512,8.16204864188686
gold deposit formation,1,41141.2117183439,9.120904945130409
gas phase carbon,2,41051.8101097981,5.749983200007728
hydrocarbon reservoir study,1,41023.75387312818,4.038920879492424
clay mineral formation,2,41022.62423913863,10.39184657826416
grain size distribution,4,40655.50003737236,15.03700369485449
carbon isotope characteristic,2,40626.40225610619,8.59764467445184
hydrocarbon accumulation phase,1,40617.639034904445,8.057234701936055
water emulsion effect,1,40596.19185907765,7.090615361261324
coal mine area,1,40591.01759816737,9.080809423860053
organic geochemical study,5,40206.49227323352,6.981863785480236
rock mass quality,3,39950.26454851218,8.34876473293365
time series study,2,39880.107697870284,10.142057268381132
waste management review,2,39871.024757442035,10.295822457149272
oil gas accumulation,2,39839.46541032534,7.31004034948225
grain size geochemistry,2,39826.40512582518,13.414652187431077
infrared spectroscopy approach,2,39762.80568608808,14.007604736868412
organic geochemical analysis,5,39665.33602536905,6.762010580573612
carbon isotope composition,12,39658.69783958635,11.711173620082254
carbon isotope distribution,2,39465.33088937033,8.790289752394237
time series analysis,4,39256.769152892004,10.77020097002946
water quality dynamic,7,39220.99362115709,10.044091931441018
organic rich sediment,7,38959.58611576259,10.187398882255987
oil gas storage,2,38687.20317437677,5.290931526534545
